Name,Position,Age,Height,Foot,Previous club ,Free since,Value,Primary Nationality,Secondary Nationality
Rémy Cabella,"
        
        
            Attacking Midfield",32,"1,71 m",right,"FK Krasnodar
 Premier Liga","Mar 9, 2022",€8.00m,France,Italy
Edgar Ié,"             
        
        
            Centre-Back",27,"1,82 m",right,"Trabzonspor
 Süper Lig","Jan 14, 2022",€7.50m,Portugal,Guinea-Bissau
Yaroslav Rakitskyi,"
        
        
            Centre-Back",32,"1,80 m",left,"Zenit St. Petersburg
 Premier Liga","Mar 2, 2022",€6.00m,Ukraine,
Diego Costa,"
        
        
            Centre-Forward",33,"1,86 m",right,"Clube Atlético Mineiro
 Campeonato Brasileiro Série A","Jan 7, 2022",€5.00m,Spain,Brazil
Elkeson,"
        
        
            Centre-Forward",32,"1,80 m",right,"Guangzhou FC
 Chinese Super League","Jan 1, 2022",€3.00m,China,Brazil
Miguel Barbieri,"
        
        
            Centre-Back",28,"1,83 m",right,"Deportivo Toluca
 Liga MX Clausura","Jan 1, 2022",€2.50m,Argentina,
Robert Beric,"
        
        
            Centre-Forward",30,"1,88 m",right,"Chicago Fire FC
 Major League Soccer","Jan 1, 2022",€2.50m,Slovenia,
Mbaye Diagne,"
        
        
            Centre-Forward",30,"1,91 m",right,"Galatasaray A.S.
 Süper Lig","Feb 4, 2022",€2.30m,Senegal,
Jimmy Tabidze,"
        
        
            Centre-Back",26,"1,87 m",left,"FK Ufa
 Russia","Mar 30, 2022",€2.00m,Georgia,
Seydouba Soumah,"
        
        
            Attacking Midfield",30,"1,61 m",both,"Kuwait SC
 Kuwait","Jan 31, 2022",€1.80m,Guinea,
Kwang-song Han,"
        
        
            Centre-Forward",23,"1,78 m",both,"Al-Duhail SC
 Qatar Stars League","Jul 1, 2021",€1.70m,"Korea, North",
Souleymane Doukara,"
        
        
            Centre-Forward",30,"1,86 m",right,"Giresunspor
 Süper Lig","Mar 31, 2022",€1.70m,Mauritania,Senegal
Othman El Kabir,"
        
        
            Left Midfield",30,"1,75 m",right,"Ural Yekaterinburg
 Premier Liga","Jul 1, 2021",€1.70m,Netherlands,Morocco
Charlie Daniels,"
        
        
            Left-Back",35,"1,78 m",left,"Colchester United
 League Two","Jan 20, 2022",€1.60m,England,
Filipe Augusto,"
        
        
            Defensive Midfield",28,"1,83 m",left,"Damac FC
 Saudi Professional League","Jan 30, 2022",€1.50m,Brazil,
Daniel Royer,"
        
        
            Left Winger",31,"1,77 m",both,"New York Red Bulls
 Major League Soccer","Jan 1, 2022",€1.50m,Austria,
Mateo Musacchio,"
        
        
            Centre-Back",31,"1,82 m",right,"SS Lazio
 Serie A","Jul 1, 2021",€1.50m,Argentina,Italy
