Name,Position,Contract Expiring,Current Team and League,Value,Agent,Primary Nationality,Secondary Nationality,,,,,,,,,,,,,,,,
Kylian Mbappé,Centre-Forward,"Dec 20, 1998 (23)","Paris SG
 Ligue 1",€160.00m,Relatives,France,,,,,,,,,,,,,,,,,"@                
        
        
"
Paul Pogba,Central Midfield,"Mar 15, 1993 (29)","Man Utd
 Premier League",€55.00m,Mino Raiola,France,Guinea,,,,,,,,,,,,,,,,"@             
        
        
"
Franck Kessié,Central Midfield,"Dec 19, 1996 (25)","AC Milan
 Serie A",€45.00m,Ambition Group,Cote d'Ivoire,,,,,,,,,,,,,,,,,"@                
        
        
"
Paulo Dybala,Second Striker,"Nov 15, 1993 (28)","Juventus
 Serie A",€40.00m,Relatives,Argentina,Italy,,,,,,,,,,,,,,,,"@               
        
        
"
Antonio Rüdiger,Centre-Back,"Mar 3, 1993 (29)","Chelsea
 Premier League",€35.00m,FSB – Spielerberatung GmbH,Germany,Sierra Leone,,,,,,,,,,,,,,,,"@                  
        
        
"
Andreas Christensen,"
            Centre-Back","Apr 10, 1996 (25)","Chelsea
 Premier League",€35.00m,KIN Partners,Denmark,,,,,,,,,,,,,,,,,"@                      
        
"
Ousmane Dembélé,Right Winger,"May 15, 1997 (24)","Barcelona
 LaLiga",€30.00m,Relatives,France,Mauritania,,,,,,,,,,,,,,,,"@                  
        
        
"
Andrea Belotti,Centre-Forward,"Dec 20, 1993 (28)","Torino
 Serie A",€28.00m,,Italy,,,,,,,,,,,,,,,,,"@                 
        
        
"
Boubacar Kamara,Defensive Midfield,"Nov 23, 1999 (22)","Marseille
 Ligue 1",€25.00m,Sport Avenir Management International,France,Senegal,,,,,,,,,,,,,,,,"@                  
        
        
"
Matthias Ginter,Centre-Back,"Jan 19, 1994 (28)","Bor. M'gladbach
 Bundesliga",€24.00m,Unique Sports Group,Germany,,,,,,,,,,,,,,,,,"@                  
        
        
"
James Tarkowski,Centre-Back,"Nov 19, 1992 (29)","Burnley
 Premier League",€22.00m,,England,Poland,,,,,,,,,,,,,,,,"@                  
        
        
"
Alexandre Lacazette,"
            Centre-Forward","May 28, 1991 (30)","Arsenal
 Premier League",€20.00m,score agencies,France,Guadeloupe,,,,,,,,,,,,,,,,"@                      
        
"
Jesse Lingard,Attacking Midfield,"Dec 15, 1992 (29)","Man Utd
 Premier League",€20.00m,,England,,,,,,,,,,,,,,,,,"@                
        
        
"
Alessio Romagnoli,"
            Centre-Back","Jan 12, 1995 (27)","AC Milan
 Serie A",€20.00m,Mino Raiola,Italy,,,,,,,,,,,,,,,,,"@                     
        
"
Noussair Mazraoui,"
            Right-Back","Nov 14, 1997 (24)","Ajax
 Eredivisie",€20.00m,Mino Raiola,Morocco,Netherlands,,,,,,,,,,,,,,,,"@                    
        
"
Luiz Felipe,Centre-Back,"Mar 22, 1997 (25)","Lazio
 Serie A",€18.00m,AIS Football,Italy,Brazil,,,,,,,,,,,,,,,,"@               
        
        
"
Jason Denayer,Centre-Back,"Jun 28, 1995 (26)","Olympique Lyon
 Ligue 1",€17.00m,Quadrans,Belgium,DR Congo,,,,,,,,,,,,,,,,"@                
        
        
"
Florian Grillitsch,"
            Defensive Midfield","Aug 7, 1995 (26)","TSG Hoffenheim
 Bundesliga",€16.00m,ICM Stellar Sports,Austria,,,,,,,,,,,,,,,,,"@                     
        
"
David Brooks,Right Winger,"Jul 8, 1997 (24)","Bournemouth
 Championship",€16.00m,Unique Sports Group,Wales,England,,,,,,,,,,,,,,,,"@                
        
        
"
Ángel Di María,Right Winger,"Feb 14, 1988 (34)","Paris SG
 Ligue 1",€15.00m,Gestifute,Argentina,Italy,,,,,,,,,,,,,,,,"@                 
        
        
"
Christian Eriksen,"
            Attacking Midfield","Feb 14, 1992 (30)","Brentford
 Premier League",€15.00m,The Talents Sportsmanagement,Denmark,,,,,,,,,,,,,,,,,"@                    
        
"
Corentin Tolisso,"
            Central Midfield","Aug 3, 1994 (27)","FC Bayern 
 Bundesliga",€15.00m,E CASTAGNINO,France,Togo,,,,,,,,,,,,,,,,"@                    
        
"
Federico Bernardeschi,"
            Right Winger","Feb 16, 1994 (28)","Juventus
 Serie A",€15.00m,P&P Sport Management S.A.M.,Italy,,,,,,,,,,,,,,,,,"@                        
        
"
Mbemba,Centre-Back,"Aug 8, 1994 (27)","FC Porto
 Liga Portugal",€15.00m,,DR Congo,,,,,,,,,,,,,,,,,"@         
        
        
"
André Onana,Goalkeeper,"Apr 2, 1996 (26)","Ajax
 Eredivisie",€15.00m,Goal Management,Cameroon,,,,,,,,,,,,,,,,,"@              
        
        
"
Sean Longstaff,Central Midfield,"Oct 30, 1997 (24)","Newcastle
 Premier League",€13.00m,Pini Zahavi,England,,,,,,,,,,,,,,,,,"@                 
        
        
"
John Anthony Brooks,"
            Centre-Back","Jan 28, 1993 (29)","VfL Wolfsburg
 Bundesliga",€12.00m,ROGON,United States,Germany,,,,,,,,,,,,,,,,"@                      
        
"
Serge Aurier,Right-Back,"Dec 24, 1992 (29)","Villarreal
 LaLiga",€12.00m,VV Consulting,Cote d'Ivoire,,,,,,,,,,,,,,,,,"@               
        
        
"
Divock Origi,Centre-Forward,"Apr 18, 1995 (26)","Liverpool
 Premier League",€12.00m,DLF,Belgium,Kenya,,,,,,,,,,,,,,,,"@               
        
        
"
Adnan Januzaj,Right Winger,"Feb 5, 1995 (27)","Real Sociedad
 LaLiga",€12.00m,IDV,Belgium,Kosovo,,,,,,,,,,,,,,,,"@                
        
        
"
Cyle Larin,Left Winger,"Apr 17, 1995 (26)","Besiktas
 Süper Lig",€11.00m,Axia Sports Management,Canada,Jamaica,,,,,,,,,,,,,,,,"@             
        
        
"
Luka Modric,Central Midfield,"Sep 9, 1985 (36)","Real Madrid
 LaLiga",€10.00m,Universal Sports Group,Croatia,,,,,,,,,,,,,,,,,"@              
        
        
"
Ivan Perisic,Left Midfield,"Feb 2, 1989 (33)","Inter
 Serie A",€10.00m,,Croatia,,,,,,,,,,,,,,,,,"@               
        
        
"
Luis Suárez,Centre-Forward,"Jan 24, 1987 (35)","Atlético Madrid
 LaLiga",€10.00m,Relatives,Uruguay,,,,,,,,,,,,,,,,,"@              
        
        
"
Henrikh Mkhitaryan,"
            Attacking Midfield","Jan 21, 1989 (33)","AS Roma
 Serie A",€10.00m,Mino Raiola,Armenia,,,,,,,,,,,,,,,,,"@                     
        
"
