Club,Market Value
Manchester City,977.30m
Paris Saint-Germain,909.55m
Liverpool FC,889.00m
Chelsea FC,883.00m
Bayern Munich,815.25m
Manchester United,790.25m
Real Madrid,780.00m
FC Barcelona,651.00m
Atletico de Madrid,646.50m
Tottenham Hotspur,580.25m
Borussia Dortmund,576.25m
Juventus FC,555.60m
Inter Milan,528.90m
Leicester City,513.80m
Arsenal FC,511.00m
SSC Napoli,493.85m
AC Milan,480.10m
RB Leipzig,454.00m
Everton FC,453.75m
Aston Villa,426.50m
Sevilla FC,424.90m
Bayer 04 Leverkusen,417.45m
Real Sociedad,395.40m
Atalanta BC,384.90m
AS Roma,369.35m
Villarreal CF,362.00m
AS Monaco,352.20m
West Ham United,350.75m
Ajax Amsterdam,345.05m
Wolverhampton Wanderers,338.50m
Olympique Lyon,316.05m
Valencia CF,298.80m
Newcastle United,278.40m
SS Lazio,267.95m
SL Benfica,266.00m
Leeds United,265.00m
Sporting CP,261.20m
FC Porto,259.30m
VfL Wolfsburg,254.40m
Olympique Marseille,250.35m
Southampton FC,246.75m
Crystal Palace,239.95m
Brighton &amp; Hove Albion,239.70m
LOSC Lille,239.30m
OGC Nice,237.95m
Borussia Mönchengladbach,237.30m
ACF Fiorentina,237.00m
US Sassuolo,233.10m
Real Betis Balompié,230.10m
Torino FC,221.08m
Red Bull Salzburg,220.00m
Brentford FC,218.90m
Stade Rennais FC,216.90m
Eintracht Frankfurt,199.80m
TSG 1899 Hoffenheim,197.45m
Shakhtar Donetsk,194.10m
Athletic Bilbao,190.60m
VfB Stuttgart,182.10m
Sociedade Esportiva Palmeiras,180.00m
AFC Bournemouth,169.60m
Zenit St. Petersburg,164.55m
Club Brugge KV,160.55m
PSV Eindhoven,160.20m
Norwich City,155.55m
Clube de Regatas do Flamengo,151.85m
Getafe CF,150.30m
Fulham FC,147.00m
SC Freiburg,146.75m
Bologna FC 1909,146.00m
Burnley FC,145.00m
Watford FC,141.60m
Fenerbahce SK,135.33m
CA River Plate,134.73m
Feyenoord Rotterdam,133.95m
Rangers FC,132.05m
Cagliari Calcio,128.55m
Hellas Verona,125.83m
Celta de Vigo,124.70m
1.FSV Mainz 05,122.05m
Spartak Moscow,118.05m
Olympiacos Piraeus,117.85m
RC Lens,113.70m
SC Braga,113.50m
Clube Atlético Mineiro,113.25m
KRC Genk,113.00m
Genoa CFC,112.80m
RCD Espanyol Barcelona,112.50m
Besiktas JK,107.88m
Trabzonspor,107.13m
AS Saint-Étienne,106.90m
Hertha BSC,106.55m
Galatasaray A.S.,106.25m
CSKA Moscow,104.75m
Dynamo Moscow,104.70m
Udinese Calcio,104.25m
Dynamo Kyiv,103.50m
GNK Dinamo Zagreb,101.35m
Club Atlético Boca Juniors,99.70m
Stade Reims,99.00m
FC Augsburg,98.80m
